,min,betas,max
0,0.0,0.0,0.0
1,-27.24154592110922,-20.611010636738087,-13.980475352366952
2,-5.768711001530816,1.2161859520504095,8.201082905631635
3,5.743414800673563,27.417327147985816,49.09123949529807
4,108.06596809080312,125.02890198525938,141.99183587971564
5,-115.42889652539155,-92.10959552784243,-68.79029453029331
6,-47.27407016229709,-17.155690211497244,12.9626897393026
7,-112.38788584078692,-88.47601378907967,-64.56414173737242
8,-123.64336281716889,-100.41469505891655,-77.18602730066421
9,102.4988649637794,134.41442890395956,166.32999284413972
10,-4.037975424434034,10.809100608673162,25.65617664178036
11,-74.4826644174156,-61.02542808834289,-47.568191759270185
12,170.22267685541902,183.74446637628273,197.26625589714644
13,-83.57693519151096,-70.1333850365869,-56.68983488166285
14,-50.64849669065003,-35.28416172457423,-19.919826758498438
