,min,betas,max
0,0.0,0.0,0.0
1,-3.59793586664423,9.535464450184236,22.6688647670127
2,67.00340393699138,80.44311039339118,93.88281684979098
3,-89.62247904493901,-25.358865572449986,38.90474790003904
4,-118.95582980365556,-70.97671760931644,-22.997605414977315
5,-604.69685593761,-537.6832866041004,-470.6697172705908
6,-383.34642518075555,-238.32035428668303,-93.29428339261054
7,337.18432748478995,443.36581286675937,549.5472982487288
8,149.29938602204504,253.83497507388074,358.37056412571644
9,1020.1061785555067,1170.4135340416542,1320.7208895278018
10,460.077490391066,612.1979331164664,764.3183758418668
11,-1027.394418274945,-910.5679065241711,-793.741394773397
12,68.07852186167202,178.45525930342774,288.83199674518346
13,-687.8911321781168,-572.925955951087,-457.9607797240572
14,-1232.0330368523005,-1076.2453581293375,-920.4576794063745
15,-421.8676590102288,-361.9526935281863,-302.03772804614374
16,403.9271806259938,456.82744801425025,509.7277154025067
17,-101.32374952964699,-49.91055775188397,1.502634025879054
18,-18.613295455208423,34.3218764520625,87.25704835933342
19,176.30839531481718,229.63270069870458,282.957006082592
20,317.4078045006753,378.07166799204424,438.7355314834132
